time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.airspeed,.groundspeed,.heading,.throttle,.altitude,.climb
2023/04/21/09:46:57.535397,6800,1682088363,841691860,,3.4083030223846436,0.06502702087163925,320,0.0,290.718017578125,0.049189142882823944
2023/04/21/09:46:57.535558,6801,1682088364,39279248,,3.4081437587738037,0.06416861712932587,320,0.0,290.7231140136719,0.049169447273015976
2023/04/21/09:46:57.536625,6802,1682088364,139609062,,3.404836893081665,0.061422839760780334,320,0.0,290.72637939453125,0.047955773770809174
2023/04/21/09:46:57.536998,6803,1682088364,245199703,,3.401353597640991,0.05714135617017746,320,0.0,290.720947265625,0.04141179472208023
2023/04/21/09:46:57.537110,6804,1682088364,438239013,,3.3969216346740723,0.05342721939086914,320,0.0,290.7137451171875,0.037314724177122116
2023/04/21/09:46:57.537218,6805,1682088364,445986946,,3.397188901901245,0.0547303631901741,320,0.0,290.7096862792969,0.03321906551718712
2023/04/21/09:46:57.537414,6806,1682088364,539766699,,3.3976848125457764,0.05412692949175835,320,0.0,290.70977783203125,0.03195526823401451
2023/04/21/09:46:57.537431,6807,1682088364,639949479,,3.3983078002929688,0.055622030049562454,320,0.0,290.71142578125,0.030140317976474762
2023/04/21/09:46:57.537450,6808,1682088364,744168960,,3.3948559761047363,0.052999503910541534,320,0.0,290.7181091308594,0.03110421821475029
2023/04/21/09:46:57.537461,6809,1682088364,841333546,,3.396195888519287,0.053680162876844406,320,0.0,290.72265625,0.031290579587221146
2023/04/21/09:46:57.537471,6810,1682088365,37852605,,3.394029140472412,0.05163699388504028,320,0.0,290.72137451171875,0.028527937829494476
2023/04/21/09:46:57.537611,6811,1682088365,143427795,,3.3913521766662598,0.04912237823009491,320,0.0,290.72076416015625,0.027306880801916122
2023/04/21/09:46:57.537800,6812,1682088365,334717911,,3.390446424484253,0.04865582287311554,320,0.0,290.7170104980469,0.024020159617066383
2023/04/21/09:46:57.537900,6813,1682088365,344283404,,3.3887298107147217,0.04781297966837883,320,0.0,290.7155456542969,0.02017868123948574
2023/04/21/09:46:57.537995,6814,1682088365,534180591,,3.3877406120300293,0.047519978135824203,320,0.0,290.71710205078125,0.019779469817876816
2023/04/21/09:46:57.538088,6815,1682088365,637266638,,3.387352228164673,0.048094917088747025,320,0.0,290.72344970703125,0.02053980343043804
2023/04/21/09:46:57.538185,6816,1682088365,645652508,,3.3877320289611816,0.04853144288063049,320,0.0,290.7269592285156,0.02014065906405449
2023/04/21/09:46:57.538209,6817,1682088365,939095463,,3.3847343921661377,0.04786618426442146,320,0.0,290.7235107421875,0.017240526154637337
2023/04/21/09:46:57.538222,6818,1682088366,143594178,,3.3809523582458496,0.04384874179959297,320,0.0,290.72076416015625,0.012161056511104107
2023/04/21/09:46:57.538232,6819,1682088366,242328445,,3.3779032230377197,0.04039886221289635,320,0.0,290.7244873046875,0.01295088417828083
