time,.time,.true_n,.true_velocity,.predicted_n,.predicted_velocity,.key_event,.key_event_time
2023/04/21/09:44:06.940355,473.0503845214844,0.9247128963470459,11.392841339111328,1.0446871519088745,11.392841339111328,0.0,0.0
2023/04/21/09:44:06.940375,473.2380676269531,0.9046770930290222,11.340673446655273,1.0440235137939453,11.340673446655273,0.0,0.0
2023/04/21/09:44:06.940396,473.2491149902344,0.9639437198638916,11.29172134399414,1.0436328649520874,11.29172134399414,0.0,0.0
2023/04/21/09:44:06.940413,473.53802490234375,0.9928165674209595,11.216153144836426,1.0433752536773682,11.216153144836426,0.0,0.0
2023/04/21/09:44:06.942174,473.64849853515625,0.8991607427597046,11.216153144836426,1.0426900386810303,11.216153144836426,0.0,0.0
2023/04/21/09:44:06.942224,473.8468017578125,0.8791506886482239,11.139974594116211,1.0419151782989502,11.139974594116211,0.0,0.0
2023/04/21/09:44:06.942262,474.2447814941406,0.926284670829773,11.124889373779297,1.0413577556610107,11.124889373779297,0.0,0.0
2023/04/21/09:44:06.942286,474.4388122558594,0.8750597238540649,11.167101860046387,1.0405678749084473,11.167101860046387,0.0,0.0
2023/04/21/09:44:06.942325,474.6387634277344,0.8790267109870911,11.22522258758545,1.0397981405258179,11.22522258758545,0.0,0.0
2023/04/21/09:44:06.943583,474.74853515625,0.8937649726867676,11.27996826171875,1.039097785949707,11.27996826171875,0.0,0.0
2023/04/21/09:44:06.943620,474.9432067871094,0.9137213230133057,11.30376148223877,1.0384904146194458,11.30376148223877,0.0,0.0
2023/04/21/09:44:06.943641,475.1388244628906,0.8744792938232422,11.364608764648438,1.037705659866333,11.364608764648438,0.0,0.0
2023/04/21/09:44:06.943661,475.3406066894531,0.9354615211486816,11.428735733032227,1.037201166152954,11.428735733032227,0.0,0.0
2023/04/21/09:44:06.943985,475.5469665527344,0.8894171714782715,11.523595809936523,1.0364880561828613,11.523595809936523,0.0,0.0
2023/04/21/09:44:06.944037,475.7408752441406,0.8746280670166016,11.563243865966797,1.0357093811035156,11.563243865966797,0.0,0.0
2023/04/21/09:44:06.944067,475.9420471191406,0.9389336705207825,11.584174156188965,1.0352258682250977,11.584174156188965,0.0,0.0
2023/04/21/09:44:06.944088,476.1451721191406,0.9035404920578003,11.626544952392578,1.034582495689392,11.626544952392578,0.0,0.0
2023/04/21/09:44:06.944537,476.3454895019531,0.9039685130119324,11.601317405700684,1.033942699432373,11.601317405700684,0.0,0.0
2023/04/21/09:44:06.944570,476.44403076171875,1.0151032209396362,11.563403129577637,1.0338108539581299,11.563403129577637,0.0,0.0
2023/04/21/09:44:06.944590,476.6490478515625,1.0704926252365112,11.54673957824707,1.0339314937591553,11.54673957824707,0.0,0.0
2023/04/21/09:44:06.944610,476.847412109375,1.0859277248382568,11.547713279724121,1.034122109413147,11.547713279724121,0.0,0.0
2023/04/21/09:44:06.944948,477.24798583984375,1.0315659046173096,11.528669357299805,1.0340648889541626,11.528669357299805,0.0,0.0
2023/04/21/09:44:06.945126,477.64361572265625,1.0607250928878784,11.549603462219238,1.0341403484344482,11.549603462219238,0.0,0.0
2023/04/21/09:44:06.945151,478.239501953125,1.1490153074264526,11.634549140930176,1.0346171855926514,11.634549140930176,0.0,0.0
2023/04/21/09:44:06.945174,478.5398864746094,1.176426649093628,11.662212371826172,1.0352174043655396,11.662212371826172,0.0,0.0
2023/04/21/09:44:06.945195,478.9466857910156,1.237389326095581,11.777291297912598,1.03609299659729,11.777291297912598,0.0,0.0
2023/04/21/09:44:06.945273,479.4464416503906,1.0827234983444214,11.922174453735352,1.0362634658813477,11.922174453735352,0.0,0.0
2023/04/21/09:44:06.945296,479.7483825683594,1.155872106552124,11.968132019042969,1.036765694618225,11.968132019042969,0.0,0.0
2023/04/21/09:44:07.034582,480.1446533203125,1.197407841682434,12.022573471069336,1.0374553203582764,12.022573471069336,0.0,0.0
2023/04/21/09:44:07.034696,480.4445495605469,1.1737834215164185,11.869405746459961,1.0380356311798096,11.869405746459961,0.0,0.0
2023/04/21/09:44:07.034842,480.9388427734375,1.2405623197555542,11.499834060668945,1.0389176607131958,11.499834060668945,0.0,0.0
2023/04/21/09:44:07.035027,481.4385070800781,1.1770718097686768,11.094766616821289,1.0395090579986572,11.094766616821289,0.0,0.0
2023/04/21/09:44:07.035199,481.7439270019531,1.1998118162155151,10.998553276062012,1.040202021598816,10.998553276062012,0.0,0.0
2023/04/21/09:44:07.035226,481.9501037597656,1.2526042461395264,10.954778671264648,1.0411325693130493,10.954778671264648,0.0,0.0
2023/04/21/09:44:07.035396,482.5420837402344,1.1444830894470215,11.057771682739258,1.0415703058242798,11.057771682739258,0.0,0.0
2023/04/21/09:44:07.035422,482.6473693847656,1.2110258340835571,11.057771682739258,1.0423085689544678,11.057771682739258,0.0,0.0
2023/04/21/09:44:07.035467,482.8533020019531,1.279361367225647,10.93287181854248,1.0433543920516968,10.93287181854248,0.0,0.0
2023/04/21/09:44:07.035509,483.9387512207031,1.2304463386535645,9.943787574768066,1.0441757440567017,9.943787574768066,0.0,0.0
2023/04/21/09:44:07.035538,484.045654296875,1.2910711765289307,9.80577564239502,1.04526948928833,9.80577564239502,0.0,0.0
2023/04/21/09:44:07.035604,484.3509826660156,1.224015474319458,9.87696647644043,1.0460566282272339,9.87696647644043,0.0,0.0
2023/04/21/09:44:07.035706,484.7396545410156,1.1456912755966187,9.975207328796387,1.0464872121810913,9.975207328796387,0.0,0.0
2023/04/21/09:44:07.035901,484.8429260253906,1.1803231239318848,10.001320838928223,1.047073245048523,10.001320838928223,0.0,0.0
2023/04/21/09:44:07.036170,484.9504089355469,1.0997532606124878,10.066712379455566,1.0472931861877441,10.066712379455566,0.0,0.0
2023/04/21/09:44:07.036195,485.04852294921875,1.0783401727676392,10.081936836242676,1.0474156141281128,10.081936836242676,0.0,0.0
2023/04/21/09:44:07.036216,485.1452331542969,1.006340503692627,10.103816986083984,1.0472122430801392,10.103816986083984,0.0,0.0
2023/04/21/09:44:07.036303,485.2433166503906,1.0561435222625732,10.103816986083984,1.0472344160079956,10.103816986083984,0.0,0.0
2023/04/21/09:44:07.037562,485.4376220703125,1.0246293544769287,10.15767765045166,1.0471141338348389,10.15767765045166,0.0,0.0
2023/04/21/09:44:07.037598,485.6435852050781,1.0675996541976929,10.197434425354004,1.0471882820129395,10.197434425354004,0.0,0.0
2023/04/21/09:44:07.037623,485.83746337890625,1.1349058151245117,10.291508674621582,1.0475660562515259,10.291508674621582,0.0,0.0
2023/04/21/09:44:07.037655,485.947998046875,1.0944770574569702,10.325614929199219,1.0477603673934937,10.325614929199219,0.0,0.0
2023/04/21/09:44:07.037677,486.1462097167969,1.079175591468811,10.380508422851562,1.0478850603103638,10.380508422851562,0.0,0.0
2023/04/21/09:44:07.037805,486.2502136230469,1.0152833461761475,10.393501281738281,1.047721028327942,10.393501281738281,0.0,0.0
2023/04/21/09:44:07.038020,486.33917236328125,0.9426916837692261,10.40346622467041,1.0472300052642822,10.40346622467041,0.0,0.0
2023/04/21/09:44:07.038060,486.5487976074219,0.9672848582267761,10.429861068725586,1.0468511581420898,10.429861068725586,0.0,0.0
2023/04/21/09:44:07.038088,486.652587890625,0.9576614499092102,10.43459701538086,1.0464298725128174,10.43459701538086,0.0,0.0
2023/04/21/09:44:07.038110,486.8474426269531,0.9701406359672546,10.49167537689209,1.0460659265518188,10.49167537689209,0.0,0.0
2023/04/21/09:44:07.038132,486.9524841308594,0.91567063331604,10.49167537689209,1.0454574823379517,10.49167537689209,0.0,0.0
