time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/04/21/09:42:02.335311,11214,1682088065,279017152,map,92.30150604248047,-220.2567901611328,83.17047882080078,-0.3121749528877183,-0.046184400694404305,0.14800717220940357,0.9372874110565501
2023/04/21/09:42:02.335548,11215,1682088065,319017152,map,92.93811798095703,-220.2798309326172,83.15657043457031,-0.3151241786122681,-0.02990140831412978,0.15586777019092785,0.9356858729599847
2023/04/21/09:42:02.335571,11216,1682088065,351120576,map,93.45486450195312,-220.2827911376953,83.14498901367188,-0.3214460056913718,-0.0042714566560336335,0.16588759336851372,0.9322745070415129
2023/04/21/09:42:02.335651,11217,1682088065,379120576,map,93.93128204345703,-220.2801971435547,83.1314926147461,-0.3255346925388379,0.009012281690508678,0.17169424898155655,0.9297671910235998
2023/04/21/09:42:02.335746,11218,1682088065,420120576,map,94.57413482666016,-220.2648468017578,83.1076889038086,-0.33420657520734837,0.03557094969225451,0.18535648710115094,0.9234087488698524
2023/04/21/09:42:02.335837,11219,1682088065,449225536,map,95.08989715576172,-220.242919921875,83.08171081542969,-0.342386709520858,0.05958658222197426,0.2004166940390032,0.9159989535800006
2023/04/21/09:42:02.335931,11220,1682088065,480225536,map,95.55635070800781,-220.24143981933594,83.05882263183594,-0.3514725901455789,0.0780906186883638,0.21727010186702422,0.907283174968766
2023/04/21/09:42:02.336129,11221,1682088065,521225536,map,96.1791000366211,-220.2299346923828,83.01549530029297,-0.35837209246708496,0.08434847738814007,0.22873638381207978,0.901185137118543
2023/04/21/09:42:02.337126,11222,1682088065,550333568,map,96.686279296875,-220.2106475830078,82.96780395507812,-0.36705307885487387,0.08449127091089496,0.24601315673339264,0.8930906452012075
2023/04/21/09:42:02.337310,11223,1682088065,579333568,map,97.15354919433594,-220.19000244140625,82.91808319091797,-0.37114739230661614,0.07960105637187294,0.2563113809188173,0.8889419833883104
2023/04/21/09:42:02.337328,11224,1682088065,619333568,map,97.775634765625,-220.15196228027344,82.84192657470703,-0.37386415708820414,0.06187912843658798,0.27733993985402444,0.8828812033521711
2023/04/21/09:42:02.337429,11225,1682088065,651436224,map,98.27941131591797,-220.1118927001953,82.77608489990234,-0.3697246938249945,0.03732000175860809,0.2967715757725781,0.8796804030888599
2023/04/21/09:42:02.337442,11226,1682088065,679436224,map,98.74071502685547,-220.07350158691406,82.71717834472656,-0.36161035074201037,0.010941701195064638,0.3135127676164388,0.8779681030744076
