time2,time1,true_n,true_velocity,predicted_n,predicted_velocity,bounds_crossed
2023/04/21/09:36:34.443024,132.24237060546875,0.8720687627792358,8.448373794555664,1.0119503736495972,8.448373794555664,0
2023/04/21/09:36:34.638572,132.24237060546875,0.8499882221221924,8.448373794555664,1.0105957984924316,8.448373794555664,0
2023/04/21/09:36:34.735540,132.24237060546875,0.8339458107948303,8.448373794555664,1.009103536605835,8.448373794555664,0
2023/04/21/09:36:34.843062,132.7446746826172,0.8222902417182922,8.448373794555664,1.007514238357544,8.448373794555664,0
2023/04/21/09:36:34.939672,132.8462371826172,0.7681300044059753,8.475628852844238,1.00544536113739,8.475628852844238,0
2023/04/21/09:36:35.041783,132.8462371826172,0.8046323657035828,8.475628852844238,1.003716230392456,8.475628852844238,0
2023/04/21/09:36:35.140592,132.8462371826172,0.8311529159545898,8.475628852844238,1.0022348165512085,8.475628852844238,0
2023/04/21/09:36:35.341575,133.24403381347656,0.8504211902618408,8.475628852844238,1.0009347200393677,8.475628852844238,0
2023/04/21/09:36:35.442327,133.34133911132812,0.9021027684211732,8.502659797668457,1.0001059770584106,8.502659797668457,0
2023/04/21/09:36:35.535442,133.34133911132812,0.939651608467102,8.502659797668457,0.9996190667152404,8.502659797668457,0
2023/04/21/09:36:35.543927,133.34133911132812,0.966932475566864,8.502659797668457,0.9993796944618224,8.502659797668457,0
2023/04/21/09:36:35.640433,133.34133911132812,0.9867531657218932,8.502659797668457,0.9993194341659546,8.502659797668457,0
2023/04/21/09:36:35.840909,133.34133911132812,1.0011537075042725,8.502659797668457,0.9993886351585388,8.502659797668457,0
2023/04/21/09:36:35.844731,133.34133911132812,1.011616349220276,8.502659797668457,0.9995511770248412,8.502659797668457,0
2023/04/21/09:36:36.140446,134.04037475585938,1.0192179679870603,8.502659797668457,0.9997810125350952,8.502659797668457,0
2023/04/21/09:36:36.440633,134.24676513671875,0.9631810784339904,8.761260032653809,0.9995077848434448,8.761260032653809,0
2023/04/21/09:36:37.338433,134.74765014648438,0.959023892879486,8.702666282653809,0.999198853969574,8.702666282653809,0
2023/04/21/09:36:37.338444,134.94480895996094,0.9159572720527648,8.52645206451416,0.9985063076019288,8.52645206451416,0
2023/04/21/09:36:37.835515,135.33946228027344,0.9873724579811096,8.534896850585938,0.9984557628631592,8.534896850585938,0
2023/04/21/09:36:38.041921,135.74240112304688,1.0541844367980957,8.310235023498535,0.9990024566650392,8.310235023498535,0
2023/04/21/09:36:38.241902,136.13807678222656,1.070190668106079,8.268881797790527,0.9996891021728516,8.268881797790527,0
2023/04/21/09:36:38.740465,136.34576416015625,1.0658676624298096,8.268881797790527,1.000333547592163,8.268881797790527,0
2023/04/21/09:36:39.139811,136.84181213378906,1.027865290641785,7.870899200439453,1.0006355047225952,7.870899200439453,0
2023/04/21/09:36:39.333975,137.03997802734375,1.0108416080474854,7.870899200439453,1.000784158706665,7.870899200439453,0
2023/04/21/09:36:39.741932,137.44635009765625,0.9984731078147888,7.738180637359619,1.000821828842163,7.738180637359619,0
2023/04/21/09:36:40.135247,137.44635009765625,1.0111422538757324,7.683300495147705,1.000972032546997,7.683300495147705,0
2023/04/21/09:36:40.342789,138.0396270751953,1.0177637338638306,7.683300495147705,1.0011804103851318,7.683300495147705,0
2023/04/21/09:36:40.746831,138.64573669433594,1.0225744247436523,7.513376712799072,1.0014303922653198,7.513376712799072,0
2023/04/21/09:36:41.344462,138.64573669433594,0.9964920282363892,7.497398853302002,1.001447081565857,7.497398853302002,0
2023/04/21/09:36:41.537995,139.24301147460938,0.9775421023368835,7.474021434783935,1.0012954473495483,7.474021434783935,0
2023/04/21/09:36:42.141022,139.6490478515625,0.9523569345474244,7.510830879211426,1.0009208917617798,7.510830879211426,0
2023/04/21/09:36:42.439893,139.6490478515625,0.9666836857795716,7.6203765869140625,1.0006753206253052,7.6203765869140625,0
2023/04/21/09:36:42.934959,140.34469604492188,0.9770926833152772,7.6203765869140625,1.0005234479904177,7.6203765869140625,0
2023/04/21/09:36:42.935116,140.7432861328125,0.969469666481018,7.632031440734863,1.0003046989440918,7.632031440734863,0
2023/04/21/09:36:43.243126,140.7432861328125,1.0434107780456543,7.711142063140869,1.0007421970367432,7.711142063140869,0
2023/04/21/09:36:43.644888,141.34788513183594,1.1132972240447998,7.685222625732422,1.0017962455749512,7.685222625732422,0
2023/04/21/09:36:43.734437,141.34788513183594,1.0683600902557373,7.654946327209473,1.0024470090866089,7.654946327209473,0
2023/04/21/09:36:44.037396,141.84414672851562,1.0357112884521484,7.654946327209473,1.0028055906295776,7.654946327209473,0
2023/04/21/09:36:44.538607,141.84414672851562,0.9897090196609496,7.519164562225342,1.0027555227279663,7.519164562225342,0
2023/04/21/09:36:44.538619,142.34449768066406,0.956286370754242,7.368484973907471,1.0024102926254272,7.368484973907471,0
2023/04/21/09:36:44.743002,142.4401092529297,0.9645761251449584,7.368484973907471,1.0021401643753052,7.368484973907471,0
2023/04/21/09:36:45.034706,142.74606323242188,0.9705989956855774,7.254117012023926,1.0019245147705078,7.254117012023926,0
2023/04/21/09:36:45.034750,142.8549346923828,0.914770483970642,7.194265842437744,1.001217484474182,7.194265842437744,0
2023/04/21/09:36:45.141416,142.8549346923828,0.971289336681366,7.14299201965332,1.0010124444961548,7.14299201965332,0
2023/04/21/09:36:45.336820,143.2485809326172,1.012352705001831,7.108280181884766,1.0011701583862305,7.108280181884766,0
2023/04/21/09:36:45.543269,143.44110107421875,1.028862237930298,7.013617515563965,1.0014724731445312,7.013617515563965,0
2023/04/21/09:36:45.546856,143.54331970214844,1.0076942443847656,7.013617515563965,1.0015869140625,7.013617515563965,0
2023/04/21/09:36:45.835059,143.64602661132812,0.9784191250801086,6.996588230133057,1.0014431476593018,6.996588230133057,0
2023/04/21/09:36:45.837906,143.64602661132812,0.9967395663261414,6.964534282684326,1.001461148262024,6.964534282684326,0
2023/04/21/09:36:46.044613,143.84832763671875,1.0100500583648682,6.9451823234558105,1.0015960931777954,6.9451823234558105,0
2023/04/21/09:36:46.142637,143.95103454589844,0.9619024395942688,6.859039306640625,1.0013073682785034,6.859039306640625,0
2023/04/21/09:36:46.343919,144.23919677734375,0.9829849600791932,6.767836570739746,1.0012050867080688,6.767836570739746,0
2023/04/21/09:36:46.440011,144.23919677734375,0.9402500987052916,6.767836570739746,1.0007284879684448,6.767836570739746,0
2023/04/21/09:36:46.543386,144.23919677734375,0.909201443195343,6.767836570739746,0.9999821782112122,6.767836570739746,0
2023/04/21/09:36:46.838819,144.63912963867188,0.8866432309150696,6.699864864349365,0.9990419745445251,6.699864864349365,0
2023/04/21/09:36:46.838830,144.63912963867188,0.8899011611938477,6.699864864349365,0.9981352090835572,6.699864864349365,0
2023/04/21/09:36:46.939242,144.9378204345703,0.892268180847168,6.63152551651001,0.9972538352012634,6.63152551651001,0
2023/04/21/09:36:47.437901,145.141845703125,0.9108129739761353,6.614256858825684,0.996539294719696,6.614256858825684,0
2023/04/21/09:36:47.437915,145.3428192138672,0.9449214339256288,6.621387481689453,0.996126651763916,6.621387481689453,0
2023/04/21/09:36:47.535037,145.4449920654297,0.9826996326446532,6.61975622177124,0.9960463047027588,6.61975622177124,0
2023/04/21/09:36:47.634601,145.54476928710938,0.9475432634353638,6.615633487701416,0.9956592917442322,6.615633487701416,0
